year,pop,country,other_energycompile_price,electricitycompile_price,electricitycompile_peakprice
2056,54.227954968,MMR,0.10841346802958725,0.10955329060086312,0.576792822888644
2057,54.195683296,MMR,0.10993125658200147,0.1110870366692752,0.584867922409085
2058,54.163411624,MMR,0.11147029417414948,0.11264225518264506,0.5930560733228122
2059,54.131139952,MMR,0.11303087829258758,0.11421924675520209,0.6013588583493316
2060,54.09886828,MMR,0.1146133105886838,0.11581831620977492,0.6097778823662222
2061,54.053862368,MMR,0.11621789693692539,0.11743977263671178,0.6183147727193493
2062,54.008856456,MMR,0.11784494749404234,0.11908392945362574,0.6269711795374202
2063,53.963850544,MMR,0.11949477675895893,0.1207511044659765,0.6357487760509442
2064,53.918844632,MMR,0.12116770363358437,0.12244161992850018,0.6446492589156574
2065,53.87383872,MMR,0.12286405148445455,0.12415580260749919,0.6536743485404766
2066,53.845098628,MMR,0.12458414820523692,0.1258939838440042,0.6628257894200432
2067,53.816358536,MMR,0.12632832628011023,0.12765649961782025,0.6721053504719239
2068,53.787618443999996,MMR,0.12809692284803179,0.12944369061246974,0.6815148253785308
2069,53.758878351999996,MMR,0.12989027976790424,0.1312559022810443,0.6910560329338302
2070,53.73013826,MMR,0.1317087436846549,0.13309348491297893,0.7007308173949038
2071,53.717912788,MMR,0.13355266609624009,0.13495679370176064,0.7105410488384325
2072,53.705687316,MMR,0.13542240342158746,0.1368461888135853,0.7204886235221706
2073,53.693461844,MMR,0.1373183170694897,0.1387620354569755,0.730575464251481
2074,53.681236372,MMR,0.13924077350846253,0.14070470395337314,0.7408035207510018
2075,53.6690109,MMR,0.141190144337581,0.14267456980872037,0.7511747700415158
2076,53.693089068000006,MMR,0.14316680635830714,0.14467201378604247,0.7616912168220971
2077,53.717167236,MMR,0.14517114164732345,0.14669742197904706,0.7723548938576065
2078,53.741245404000004,MMR,0.147203537630386,0.14875118588675373,0.783167862371613
2079,53.765323572,MMR,0.14926438715721138,0.15083370248916828,0.7941322124448156
2080,53.78940174,MMR,0.15135408857741234,0.15294537432401664,0.805250063419043
2081,53.870727308,MMR,0.1534730458174961,0.15508660956455286,0.8165235643069096
2082,53.952052876,MMR,0.15562166845894104,0.1572578220984566,0.8279548942072064
2083,54.033378444,MMR,0.15780037181736623,0.159459431607835,0.8395462627261072
2084,54.114704012000004,MMR,0.16000957702280935,0.16169186365034469,0.8512999104042728
2085,54.19602958,MMR,0.16224971110112868,0.16395554974144952,0.8632181091499326
2086,54.305865052,MMR,0.1645212070565445,0.16625092743782982,0.8753031626780317
2087,54.415700524,MMR,0.16682450395533613,0.16857844042195944,0.8875574069555241
2088,54.525535996,MMR,0.16916004701071083,0.17093853858786687,0.8999832106529014
2089,54.635371468,MMR,0.17152828766886077,0.173331678128097,0.912582975602042
2090,54.74520694,MMR,0.17392968369622483,0.17575832162189037,0.9253591372604707
2091,54.89595369,MMR,0.176364699267972,0.17821893812459683,0.9383141651821173
2092,55.04670044,MMR,0.1788338050577236,0.1807140032583412,0.951450563494667
2093,55.19744719,MMR,0.18133747832853173,0.18324399930395796,0.9647708713835923
2094,55.34819394,MMR,0.18387620302513116,0.18580941529421338,0.9782776635829626
2095,55.49894069,MMR,0.186450469867483,0.18841074710833236,0.9919735508731241
2096,55.675846348,MMR,0.18906077644562777,0.19104849756784903,1.005861180585348
2097,55.852752006,MMR,0.19170762731586657,0.19372317653379892,1.0199432371135428
2098,56.029657664,MMR,0.19439153409828872,0.1964353010052721,1.0342224424331325
2099,56.206563322,MMR,0.19711301557566477,0.19918539521934592,1.0487015566271964
2020,0.654340929,MNE,0.059257183297564804,0.07779915128216765,0.34966605024005065
2021,0.6564149454,MNE,0.06008678386373071,0.078888339400118,0.3545613749434114
2022,0.6584889617999999,MNE,0.06092799883782294,0.07999277615171965,0.35952523419261917
2023,0.6605629782,MNE,0.06178099082155246,0.08111267501784372,0.36455858747131586
2024,0.6626369945999999,MNE,0.06264592469305419,0.08224825246809353,0.3696624076959143
2025,0.664711011,MNE,0.06352296763875695,0.08339972800264685,0.3748376814036571
2026,0.6665564815999999,MNE,0.06441228918569955,0.08456732419468391,0.3800854089433083
2027,0.6684019522,MNE,0.06531406123429935,0.08575126673340948,0.3854066046685146
2028,0.6702474227999999,MNE,0.06622845809157954,0.0869517844676772,0.3908022971338738
